"ID";"P02";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"P32";"P33";"P34";"P35";"P36";"P37";"P38";"P39";"P40";"P41";"P42";"P43";"P44";"P45";"P46";"P47";"P48";"P49";"V02";"V04";"V05";"V06";"V07";"V08";"V09";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"VD_REGIAO";"VD_EDUCACAO";"VD_IDADE";"VD_RACA";"VD_ACOMPANHA_SENADO";"VD_TRABALHO";"VD_PORTE";"VD_VOTO.TURNO1";"VD_VOTO.TURNO2";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"POP_REGIAO_VOTO.TURNO1";"POP_REGIAO_VOTO.TURNO2";"W1";"W2"
"1";28;6;1;1;2;1;3;97;2;2;2;2;1;1;1;1;3;2;;3;1;97;2;2;2;2;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;4;1;3;4;1;1;;5;3;1;2;2;;2;;2;3;4;2;4;1;3;3;3;21140652,1606768;6202819,74451299;33265012,4017524;6782281,42177651;10816838,1655851;13804878,7427588;11847497,7427588;0,289622257726311;8323,77894239386
"2";52;4;2;2;1;97;2;97;2;1;1;1;2;2;2;1;1;1;2;3;3;1;1;1;2;1;2;;;;;;;;;;;2;;;;;;;;;2;1;2;3;1;1;;1;1;1;1;1;1;1;1;5;2;3;2;2;1;1;1;1;6308440,96389232;2435637,36092034;8295394,16804358;3872447,6527475;3993568,58119647;4727672;5331708;0,850986139664242;57852,6861630567
"3";35;2;1;1;1;2;5;1;1;97;1;2;1;1;1;1;2;2;;1;1;5;2;2;2;1;1;1;2;;;;;;;;;1;2;2;2;2;1;1;1;1;4;1;4;2;1;1;;4;1;2;2;2;;2;;3;1;1;2;4;1;2;3;3;34583982,1353621;18471680,4671614;35613911,6497741;29216484,3462274;28518806,3404994;27776402,6627414;22446263,6627414;1,1575493817962;130147,300267096
"4";29;1;1;1;1;2;7;1;1;2;1;2;1;2;1;1;2;2;;3;97;4;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;1;2;1;2;1;2;2;2;1;1;2;1;2;1;2;2;1;1;1;4;3;2;2;2;23204759,582082;12798371,8641061;11080399,3410063;24249559,3107258;14173695,4240263;21753139;22534967;0,53113146285101;211209,066647503
"5";41;4;2;1;2;2;3;2;2;2;1;1;1;2;2;1;2;1;3;2;2;3;2;2;2;2;1;1;2;;;;;;;;;1;2;1;2;2;2;2;1;1;2;1;3;4;1;1;;2;2;2;1;1;1;1;1;4;3;2;2;3;1;2;1;1;11900083,831777;4972531,99320719;6448500,58726374;5864296,77968615;10776775,1826395;9568041;10940158;0,885430859201816;46328,2768341016
"6";35;2;1;1;2;1;3;1;1;2;1;2;1;1;1;1;2;2;;3;3;3;1;1;1;2;1;1;2;;;;;;;;;1;2;2;2;2;1;1;1;1;2;1;3;4;1;1;;2;3;2;1;1;1;2;;3;3;2;2;4;1;2;1;3;34583982,1353621;14391721,5930094;35613911,6497741;18702138,7176993;28518806,3404994;23470529;22446263,6627414;1,1575493817962;37721,0479675986
"7";26;5;1;1;1;2;3;2;1;1;1;1;1;2;2;1;3;2;;3;2;1;2;1;1;2;1;1;2;;;;;;;;;1;1;1;1;1;1;2;1;2;2;1;3;2;1;2;2;1;1;1;1;1;1;1;1;2;1;3;2;4;3;3;1;1;21140652,1606768;8084696,47301555;33265012,4017524;24249559,3107258;10816838,1655851;8787394;9962947;5,1611723812616;305039,932982966
"8";43;6;1;1;1;2;3;1;2;97;2;2;1;1;1;1;2;2;;2;3;2;2;1;2;2;1;1;2;;;;;;;;;1;97;97;97;2;1;1;1;1;4;2;1;4;1;1;;2;3;2;2;1;99;2;;4;3;3;1;4;1;2;3;3;12325579,2015022;4262210,06607883;17777162,4460155;5864296,77968615;10776775,1826395;8208242,03327921;6535131,03327921;0,710930506044047;26863,3167242171
"9";51;4;1;1;1;1;3;1;2;1;2;1;1;2;2;1;2;2;;3;2;1;2;2;2;2;1;1;1;2;3;2;1;3;3;2;2;1;2;1;2;1;1;1;1;1;2;2;1;3;1;1;;1;1;2;2;1;1;1;1;5;2;4;1;4;1;2;1;1;6571044,69845248;1863978,38789247;4584091,49430122;3872447,6527475;3650500,27250181;4727672;5331708;0,532074345004093;44914,3456130022
"10";42;5;1;1;1;1;7;1;2;2;2;1;1;1;2;97;1;2;;97;1;3;2;1;2;1;1;1;2;;;;;;;;;2;;;;;;;;;2;2;2;2;2;2;2;2;1;2;1;1;1;1;1;4;1;5;2;4;3;1;1;1;12325579,2015022;5040299,80536735;6448500,58726374;11421778,5725272;8921246,50044287;9568041;10940158;0,47526920288499;75496,4666664578
